ID контрольной/ имя ученика,1,2,3,4,5,6,7,8,9,10
Аркадий,4,4,3,3,3,4,4,3,5,3
Елена,4,2,3,3,3,3,4,4,3,3
Василий,5,5,5,4,,3,3,5,4,2
Юрий,4,4,5,4,4,2,4,3,5,4
Анна,4,2,5,2,2,3,4,5,5,2
Афанасий,4,5,4,5,3,5,3,3,4,3
Екатерина,2,4,4,2,5,4,5,2,3,4
Софья,5,5,5,4,5,4,5,5,5,4
Федор,5,4,3,5,5,4,2,5,5,4
Анастасия,5,5,5,5,5,5,5,5,5,5
Элла,4,3,4,3,4,2,4,5,3,4
Мария,5,5,5,5,5,4,4,5,5,5
Антон,5,5,2,3,4,4,5,2,3,4
Олег,2,4,2,4,2,5,3,2,4,3
Андрей,2,4,2,5,4,2,3,2,5,2
Михаил,2,3,5,4,3,2,5,2,4,4
Петр,2,4,5,3,2,4,2,4,4,5
Алексей,4,5,5,5,4,2,2,4,5,5
Светлана,4,5,3,3,3,3,3,5,4,2
Роман,3,4,5,5,3,5,4,3,5,4
Дмитрий,3,3,4,4,4,3,2,4,3,4
Владимир,3,5,3,4,4,4,3,4,4,3
Денис,3,5,3,4,3,5,4,2,3,4
Ольга,5,4,4,5,5,5,4,5,4,4
